,id,example,lables,label
19385378_gab,19385378_gab,well if traitor politicians do not want abuse they should stop being a bunch of thieving corrupt lying moslem cock sucking cultural marxist fucktards,"['hatespeech', 'offensive']",hatespeech
1240014512700436482_twitter,1240014512700436482_twitter,asians are so sexy wallahi but then you link up with them and they ’ re like <number> ’ <number>,"['normal', 'offensive']",offensive
15316570_gab,15316570_gab,you can take the nigger out of the ghetto you can not take the ghetto out of the nigger,"['hatespeech', 'offensive']",hatespeech
1162960598604361728_twitter,1162960598604361728_twitter,<user> i ’ ve always dated white men who ’ ve never dated black women they all from america mytwocents,"['normal', 'offensive']",offensive
27526193_gab,27526193_gab,bees are yellow nigger skunks,['hatespeech'],hatespeech
1179082906108608513_twitter,1179082906108608513_twitter,<user> o mere pseudo liberal there is diff between refugee and illegal immigrant,['normal'],normal
1178728410794926082_twitter,1178728410794926082_twitter,<user> <user> <user> refugee issue nothing to do with with immigration policy they are two different things the eu want to determine where refugees get to live with nil consideration of international treaties,['normal'],normal
1113560746829471744_twitter,1113560746829471744_twitter,<user> you scraped a draw against us with mourinho at home then we popped you <number> <number> at home you ain ’ t winning at ot,['normal'],normal
10120104_gab,10120104_gab,the mafia will leave severed goat heads on the beds of moslem refugees,['hatespeech'],hatespeech
24985956_gab,24985956_gab,do not even get me started on taylor swift how many honky tonks did she work in for shit pay to develop her craft oh snap that right she just good looking for tv and can sing karaoke,['normal'],normal
1196519101302235136_twitter,1196519101302235136_twitter,<user> i fucking hate this shit it ’ a cellphone picure from a screen lol,['normal'],normal
1164832774567579648_twitter,1164832774567579648_twitter,does women football have their own puskas category because those goals that got nominated get scored every matchday 😐,['normal'],normal
11560882_gab,11560882_gab,haredi none haredi jews have similar low math scores ashkenazi make up <number> of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions,"['hatespeech', 'offensive']",hatespeech
16935519_gab,16935519_gab,why would anyone put themselves on the side if either the muzrat or the kike filth if you think giving palestine to the muzrats will end terrorism i have got a bridge to sell you not old we need to eradicate them all there cannot be peace until muzrats are extinct,['hatespeech'],hatespeech
1179100546374012929_twitter,1179100546374012929_twitter,hulk hogan hoes they be feeling think a pack of mittens put em give them white bitch til she would gladly consider your,"['normal', 'offensive']",offensive
1106543525254946817_twitter,1106543525254946817_twitter,it a heartbroken news my heart and prayers will be always with all the victims and all muslim family around the world,['normal'],normal
15976818_gab,15976818_gab,nyc bomber dam i burned my dick off wow now i am a transgender muzzrat now deblasio will pay me twice as much,"['hatespeech', 'offensive']",hatespeech
1215273332171395072_twitter,1215273332171395072_twitter,how can you let someone like that go through so much pain i hate you <user> omg rot,['offensive'],offensive
1179000546583285763_twitter,1179000546583285763_twitter,if i see a single redneck murican say finlanf has g*n <censored> control yet this happened i swear im gonna go s* them my damn self,"['normal', 'offensive']",offensive
17023288_gab,17023288_gab,oh and fyi any jew alive at the time he said that did not kill your jeepnut unless they invented time travel are jews time travelers,"['hatespeech', 'offensive']",offensive
22676953_gab,22676953_gab,i think you indeed can call people nigger if you so please,['hatespeech'],hatespeech
1178201585844813824_twitter,1178201585844813824_twitter,league be like kill yourself faggot and i be like yeah,"['hatespeech', 'normal']",hatespeech
18227578_gab,18227578_gab,piss off you thirsty brown thot no one asked you i do not listen to chubby street shitters or kike manlets,['hatespeech'],hatespeech
18388078_gab,18388078_gab,lol ya arabs are less amused by this image than you are lol you and the muslims you talk like can go fuck a goat you want to talk all jew hate and forget your an american you can be the enemy too,"['hatespeech', 'normal']",hatespeech
1117500137801121794_twitter,1117500137801121794_twitter,<user> “ bitches doing blackface ”,"['normal', 'offensive']",normal
17084794_gab,17084794_gab,iranian women risking prison or even death by removing their hijabs feminist in the west wear a hijab like it some sort of medal fukin idiots freedom from islamic rule is all they want,"['normal', 'offensive']",offensive
1178744832564453377_twitter,1178744832564453377_twitter,charlton heston i fucking hate you for keeping my family apart from me,['normal'],normal
27162886_gab,27162886_gab,unfortunately unless right wing parties get <percent> the others will form a coalition to keep them from power carry on the moslem cock sucking ruination of sweden moslems are the problem,"['hatespeech', 'offensive']",hatespeech
18379119_gab,18379119_gab,potus great to see how hard republicans are fighting for our military and safety at the border the dems just want illegal immigrants to pour into our nation unchecked if stalemate continues republicans should go to <number> nuclear option and vote on real long term budget no c.r.,"['hatespeech', 'normal', 'offensive']",offensive
1231270633817985026_twitter,1231270633817985026_twitter,<user> where ’ the argentina stats you retarded cunt,['offensive'],offensive
1178145888922939393_twitter,1178145888922939393_twitter,some of you niggas be lookin like dykes i follow back like a fool stop setting me up,"['normal', 'offensive']",offensive
