id,labels,sentences,PRON+VERB,PRON+VERB+NOUN,PRON+VERB+*+NOUN,PRON+VERB+*+NOUN+ADV,PRON+VERB+*+ADV,PRON+VERB+*+ADV+ADJ,PRON+VERB+*+ADV+ADJ+NOUN,PRON+VERB+*+ADV+[large],PRON+VERB+*+ADV+[large]+NOUN,PRON+VERB+*+[bill],PRON+VERB+*+[bill]+ADV,PRON,PRON+NOUN|VERB,PRON+NOUN,PRON+NOUN|AUX,PRON+AUX|VERB,PRON+AUX|VERB+*+ADV,PRON+AUX,PRON+AUX|NOUN,PRON+*+VERB,PRON+*+VERB+NOUN,PRON+*+NOUN,PRON+*+ADJ,PRON+*+ADV,PRON+*+AUX+VERB,PRON+*+AUX,PRON+*+AUX+ADJ,PRON+*+AUX+ADV,PRON+*+[bill],PRON|[price],PRON|[price]+AUX,PRON|[price]+*+ADJ,PRON|[price]+*+AUX,PRON|[price]+*+AUX+ADJ,[bill],[bill]+ADV,[bill]+ADV+*+VERB,[bill]+*+PRON+VERB,[bill]+*+PRON,[bill]+*+ADV,[bill]|PRON,[bill]|PRON+*+ADV,[bill]|[large],[bill]|[price],[bill]|[downside],[bill]|$MONEY,[bill]|$MONEY+*+PRON+VERB,[bill]|$MONEY+*+PRON,[bill]|$ORDINAL,[large],[large]+NOUN,[large]+*+NOUN,[large]|PRON,[large]|PRON+NOUN,[large]|PRON+*+NOUN,[large]|[bill],[large]|[price],[large]|[downside],[large]|$MONEY,[large]|$MONEY+NOUN,[large]|$MONEY+*+NOUN,[large]|$ORDINAL,[large]|$ORG,[large]|$ORG+NOUN,[large]|$ORG+*+NOUN,[price],[price]+AUX,[price]+*+PROPN,[price]+*+PROPN|ADJ,[price]+*+PROPN|AUX,[price]+*+ADJ,[price]+*+ADJ|PROPN,[price]+*+AUX,[price]+*+AUX+ADJ,[price]+*+AUX|PROPN,[price]|PRON,[price]|PRON+AUX,[price]|PRON+*+ADJ,[price]|PRON+*+AUX,[price]|PRON+*+AUX+ADJ,[price]|[bill],[price]|[large],[price]|[downside],[price]|$MONEY,[price]|$ORDINAL,[price]|$ORDINAL+*+PROPN,[price]|$ORG,[downside],[downside]+*+NUM,[downside]+*+NUM+NOUN,[downside]+*+NUM+NOUN+VERB,[downside]+*+NUM+NOUN+VERB+ADV,[downside]|PRON,[downside]|[bill],[downside]|[large],[downside]|[price],[downside]|$MONEY,[downside]|$ORG,$MONEY,$MONEY+NOUN,$MONEY+*+PRON+VERB,$MONEY+*+PRON+VERB+NOUN,$MONEY+*+PRON,$MONEY+*+PRON|NOUN,$MONEY+*+NOUN,$MONEY+*+NOUN|PRON,$MONEY|PRON,$MONEY|PRON+NOUN,$MONEY|PRON+*+NOUN,$MONEY|[large],$MONEY|[large]+NOUN,$MONEY|[large]+*+NOUN,$MONEY|[price],$MONEY|[downside],$MONEY|$ORDINAL,$ORDINAL,$ORDINAL+*+PROPN,$ORDINAL+*+PROPN+VERB,$ORDINAL+*+PROPN+VERB+NOUN,$ORDINAL|PRON,$ORDINAL|[bill],$ORDINAL|[large],$ORDINAL|[price],$ORDINAL|[price]+*+PROPN,$ORDINAL|$MONEY,$ORDINAL|$ORG,$ORG,$ORG+NOUN,$ORG+NOUN+*+ADV+PRON+VERB,$ORG+NOUN+*+ADV+PRON,$ORG+NOUN+*+ADV,$ORG+*+NOUN,$ORG|PRON,$ORG|PRON+NOUN,$ORG|PRON+*+NOUN,$ORG|[large],$ORG|[large]+NOUN,$ORG|[large]+*+NOUN,$ORG|[price],$ORG|[downside],$ORG|$MONEY,$ORG|$MONEY+NOUN,$ORG|$MONEY+*+NOUN,$ORG|$ORDINAL
s45,1,Only downside : three entrees served simultaneously but fourth ( beet/ goat cheese ravioli ) was 2 - 3 minutes later which allowed my accompaniments ( delicious creamy polenta ) to cool off to much .,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
s44,1,"When we were about to pay , the server handed us a bill and I reminded her that we were using the 1/2 off Scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... REALLY ? ! ?",1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s33,1,"You get a much much larger portion for the same price at SFU (the bowl is over-flowing).
",1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
s103,1,Large selection of dishes for under $9 and there is tons of food.,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0
s5,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
s108,0,This mall actually feels like one in Las Vegas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s77,0,"The store was clean and well organized
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s93,0,"Well, massively disappointed with this place. Fries were cold, I mean 5 HOUR cold!! The burger? Smashed together like they were trying to save space in bvb yge bag.",1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
s58,0,"This man is unstable and incompetent as a manager
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s68,0,"The place was beautiful, immaculately clean, comfortable bedding (lovely sheets) and breakfast was delicious.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
