id,labels,sentences,PROPN,PROPN+AUX,PROPN+AUX+ADJ,PROPN+AUX+ADJ+*+NOUN,PROPN+AUX+*+ADJ,PROPN+*+ADJ,PROPN+*+AUX,PROPN|NUM,PROPN|[clean],PROPN|[clean]+*+ADJ,PROPN|[bed],PROPN|[bed]+*+ADJ,PROPN|[delicious],PROPN|[nice],PROPN|[nice]+*+ADJ,PROPN|$QUANTITY,PROPN|$QUANTITY+*+ADJ,ADV+PRON|VERB,ADV+PRON,ADV+PRON|ADJ,ADV+PRON|[clean],ADV+PRON|[delicious],ADV+VERB|PRON,ADV+VERB,ADV+VERB|ADJ,ADV+VERB|[clean],ADV+VERB|[delicious],ADV,ADV+ADJ|VERB,ADV+ADJ,ADV+[clean]|PRON,ADV+[clean]|VERB,ADV+[clean],ADV+[clean]|ADJ,ADV+[clean]|[delicious],ADV+[delicious]|PRON,ADV+[delicious]|VERB,ADV+[delicious],ADV+[delicious]|ADJ,ADV+[delicious]|[clean],ADV|[bed],ADV|$ORG,ADV|$QUANTITY,ADV|$QUANTITY+ADJ,NUM,NUM+NOUN,NUM+NOUN+ADJ,NUM+NOUN+*+ADJ,NUM+*+NOUN,NUM+*+ADJ,NUM+*+$QUANTITY,NUM+$QUANTITY,NUM+$QUANTITY+ADJ,NUM+$QUANTITY+ADJ+NOUN,NUM+$QUANTITY+ADJ+NOUN+VERB,NUM+$QUANTITY+ADJ+NOUN+*+VERB,NUM+$QUANTITY+ADJ+*+NOUN,NUM+$QUANTITY+ADJ+*+NOUN+VERB,NUM+$QUANTITY+*+NOUN,NUM+$QUANTITY+*+NOUN+VERB,NUM+$QUANTITY+*+ADJ,NUM+$QUANTITY+*+ADJ+NOUN,NUM+$QUANTITY+*+ADJ+NOUN+VERB,NUM|PROPN,NUM|[clean],NUM|[clean]+*+ADJ,NUM|[bed],NUM|[bed]+*+ADJ,NUM|[delicious],NUM|[nice],NUM|[nice]+NOUN,NUM|$ORG,NUM|$ORG+*+ADJ,[clean],[clean]+*+ADJ,[clean]+*+ADJ+VERB,[clean]+*+ADJ+[bed],[clean]+*+ADJ|ADV,[clean]+*+ADJ|ADV+VERB,[clean]+*+ADV,[clean]+*+ADV+VERB,[clean]+*+ADV|ADJ,[clean]+*+ADV|ADJ+VERB,[clean]|PROPN,[clean]|PROPN+*+ADJ,[clean]|ADV,[clean]|NUM,[clean]|NUM+*+ADJ,[clean]|[bed],[clean]|[bed]+*+ADJ,[clean]|[delicious],[clean]|[nice],[clean]|[nice]+*+ADJ,[clean]|$ORG,[clean]|$ORG+*+ADJ,[clean]|$QUANTITY,[clean]|$QUANTITY+*+ADJ,[bed],[bed]+*+ADJ,[bed]+*+ADJ+NOUN,[bed]|PROPN,[bed]|PROPN+*+ADJ,[bed]|ADV,[bed]|[clean],[bed]|[clean]+*+ADJ,[bed]|[delicious],[bed]|[nice],[bed]|[nice]+*+ADJ,[bed]|$ORG,[bed]|$ORG+*+ADJ,[bed]|$ORG+*+ADJ+NOUN,[delicious],[delicious]|PROPN,[delicious]|ADV,[delicious]|NUM,[delicious]|[clean],[delicious]|[bed],[delicious]|[nice],[delicious]|$ORG,[delicious]|$QUANTITY,[nice],[nice]+NOUN,[nice]+*+NOUN,[nice]+*+NOUN|ADJ,[nice]+*+ADJ,[nice]+*+ADJ|NOUN,[nice]|PROPN,[nice]|PROPN+*+ADJ,[nice]|[clean],[nice]|[clean]+*+ADJ,[nice]|[bed],[nice]|[bed]+*+ADJ,[nice]|[delicious],[nice]|$ORG,[nice]|$ORG+*+ADJ,$ORG,$ORG+*+ADJ,$ORG|ADV,$ORG|NUM,$ORG|NUM+*+ADJ,$ORG|[clean],$ORG|[clean]+*+ADJ,$ORG|[bed],$ORG|[bed]+*+ADJ,$ORG|[bed]+*+ADJ+NOUN,$ORG|[delicious],$ORG|[nice],$ORG|[nice]+*+ADJ,$ORG|$QUANTITY,$ORG|$QUANTITY+*+ADJ,$ORG|$QUANTITY+*+ADJ+NOUN,$QUANTITY,$QUANTITY+NOUN,$QUANTITY+NOUN+ADJ,$QUANTITY+NOUN+*+ADJ,$QUANTITY+ADJ,$QUANTITY+ADJ+NOUN,$QUANTITY+ADJ+NOUN+VERB,$QUANTITY+ADJ+NOUN+*+VERB,$QUANTITY+ADJ+*+NOUN,$QUANTITY+ADJ+*+NOUN+VERB,$QUANTITY+*+NOUN,$QUANTITY+*+NOUN+VERB,$QUANTITY+*+NOUN+ADJ,$QUANTITY+*+ADJ,$QUANTITY+*+ADJ+NOUN,$QUANTITY+*+ADJ+NOUN+VERB,$QUANTITY|PROPN,$QUANTITY|PROPN+*+ADJ,$QUANTITY|ADV,$QUANTITY|ADV+ADJ,$QUANTITY|[clean],$QUANTITY|[clean]+*+ADJ,$QUANTITY|[bed],$QUANTITY|[bed]+*+ADJ,$QUANTITY|[bed]+*+ADJ+NOUN,$QUANTITY|[delicious],$QUANTITY|[nice],$QUANTITY|[nice]+NOUN,$QUANTITY|[nice]+*+NOUN,$QUANTITY|[nice]+*+ADJ,$QUANTITY|[nice]+*+ADJ|NOUN,$QUANTITY|$ORG,$QUANTITY|$ORG+*+ADJ,$QUANTITY|$ORG+*+ADJ+NOUN
39,1,"the lines may be long at times
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,"The place was beautiful, immaculately clean, comfortable bedding (lovely sheets) and breakfast was delicious.
",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
80,1,"Do not eat here, it is unsanitary.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,"The rooms are nice, spacious and cozy. The huge 42 inch flat screen TV mounted to the wall made it covienent to watch TV from the cozy sectional or while in bed",0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,"Perfect little spot with healthy options and everything was so delicious.
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,1,Very dark and stylish and clearly they were aiming for something of a cross between a club feel date night and just a nice evening out that you would like to bring someone special.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
104,1,"Lots of free parking in the rear of the restaurant.  
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,"The store was clean and well organized
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,"Service was awful, bathrooms were filthy and Wellesley's stupid blue law about requiring every patron to order food while drinking is absurb.
",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
84,0,"For the price I paid, I get more with a vist to another fast food competitor.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
