id,labels,sentences,ADJ+PRON,ADJ+PRON|NOUN,ADJ+PRON|NOUN+AUX,ADJ+PRON|NOUN+*+AUX,ADJ+PRON|NOUN+*+AUX|[time],ADJ+PRON|NOUN+*+[time],ADJ+PRON|NOUN+*+[time]|AUX,ADJ+PRON|[time],ADJ+PRON|[time]+NOUN,ADJ+PRON|[time]+*+NOUN,ADJ+PRON|[discount],ADJ+PRON|$ORDINAL,ADJ,ADJ+NOUN|PRON,ADJ+NOUN|PRON+AUX,ADJ+NOUN|PRON+*+AUX,ADJ+NOUN|PRON+*+AUX|[time],ADJ+NOUN|PRON+*+[time],ADJ+NOUN|PRON+*+[time]|AUX,ADJ+NOUN,ADJ+*+PRON,ADJ+*+PRON+NOUN,ADJ+*+PRON+NOUN|AUX,ADJ+*+PRON+AUX,ADJ+*+PRON+AUX|NOUN,ADJ+*+PRON+AUX|[time],ADJ+*+PRON+[time],ADJ+*+PRON+[time]|AUX,ADJ+*+VERB|PRON,ADJ+*+VERB,ADJ+*+VERB|NOUN,ADJ+*+VERB|AUX,ADJ+*+VERB|[time],ADJ+*+VERB|[discount],ADJ+*+VERB|$ORDINAL,ADJ+*+NOUN,ADJ+*+NOUN+VERB,ADJ+*+NOUN+VERB|AUX,ADJ+*+NOUN+AUX,ADJ+*+NOUN+AUX|VERB,ADJ+*+AUX|PRON,ADJ+*+AUX|VERB,ADJ+*+AUX,ADJ+*+AUX|NOUN,ADJ+*+AUX|[time],ADJ+*+AUX|$ORDINAL,ADJ+*+[time],ADJ+*+[time]+NOUN,ADJ+*+[discount]|PRON,ADJ+*+[discount]|VERB,ADJ+*+[discount],ADJ+*+[discount]|NOUN,ADJ+*+[discount]|AUX,ADJ+*+[discount]|[time],ADJ+*+[discount]|$ORDINAL,ADJ+*+$ORDINAL|PRON,ADJ+*+$ORDINAL|PRON+NOUN,ADJ+*+$ORDINAL|PRON+[time],ADJ+*+$ORDINAL|VERB,ADJ+*+$ORDINAL,ADJ+*+$ORDINAL|NOUN,ADJ+*+$ORDINAL|AUX,ADJ+*+$ORDINAL|[time],ADJ+*+$ORDINAL|[time]+NOUN,ADJ+*+$ORDINAL|[discount],ADJ+[time]|PRON,ADJ+[time]|PRON+NOUN,ADJ+[time]|PRON+*+NOUN,ADJ+[time],ADJ+[time]|NOUN,ADJ+[time]|[discount],ADJ+[discount]|PRON,ADJ+[discount],ADJ+[discount]|NOUN,ADJ+[discount]|[time],ADJ+[discount]|$ORDINAL,ADJ+$ORDINAL|PRON,ADJ+$ORDINAL,ADJ+$ORDINAL|NOUN,ADJ+$ORDINAL|[time],ADJ+$ORDINAL|[discount],ADJ|[discount],ADJ|[discount]+NOUN,ADJ|[discount]+*+NOUN,ADJ|[price],ADJ|[price]+*+AUX,ADV,ADV+VERB,ADV+VERB|ADJ,ADV+VERB|AUX,ADV+ADJ,ADV+ADJ|VERB,ADV+ADJ|AUX,ADV+ADJ|AUX+*+NOUN,ADV+ADJ|AUX+*+[time],ADV+ADJ|[price],ADV+AUX,ADV+AUX|ADJ,ADV+AUX|ADJ+*+NOUN,ADV+AUX|ADJ+*+[time],ADV+*+PRON|VERB,ADV+*+PRON,ADV+*+PRON|ADJ,ADV+*+PRON|ADJ+NOUN,ADV+*+PRON|ADJ+[time],ADV+*+PRON|AUX,ADV+*+PRON|[price],ADV+*+VERB|PRON,ADV+*+VERB,ADV+*+VERB|ADJ,ADV+*+VERB|AUX,ADV+*+ADJ|VERB,ADV+*+ADJ,ADV+*+ADJ|AUX+PRON,ADV+*+ADJ|AUX,ADV+*+ADJ|[price],ADV+*+AUX+PRON,ADV+*+AUX+PRON|ADJ,ADV+*+AUX,ADV+*+AUX+ADJ|PRON,ADV+*+AUX+ADJ,ADV+*+[price]|PRON,ADV+*+[price],ADV+*+[price]|ADJ,ADV+*+[price]|AUX,ADV+[price],ADV+[price]|ADJ,ADV+[price]|AUX,ADV|[time],ADV|[time]+*+PRON,ADV|[discount],ADV|[discount]+*+ADJ,ADV|[price],ADV|[price]+AUX,ADV|[price]+*+ADJ,ADV|[price]+*+AUX,ADV|[price]+*+AUX+ADJ,ADV|$ORDINAL,ADV|$ORDINAL+*+ADJ,ADV|$ORDINAL+*+ADJ+NOUN,ADV|$ORDINAL+*+ADJ+[time],NUM,NUM+*+PRON,NUM|[time],NUM|[time]+*+PRON,NUM|[discount],NUM|[price],NUM|[bit],NUM|[bit]+*+PRON,NUM|$ORDINAL,[time],[time]+NOUN,[time]+NOUN|ADV,[time]+ADV,[time]+ADV|NOUN,[time]+*+PRON,[time]+*+PRON+AUX+VERB,[time]+*+PRON+AUX,[time]+*+PRON|NOUN,[time]+*+PRON|ADV,[time]+*+NOUN,[time]+*+NOUN+ADV,[time]+*+NOUN|PRON,[time]+*+ADV,[time]+*+ADV|PRON,[time]+*+ADV|NOUN,[time]|ADJ,[time]|ADJ+NOUN,[time]|ADJ+*+PRON,[time]|ADJ+*+PRON+AUX,[time]|ADJ+*+NOUN,[time]|ADV,[time]|ADV+*+PRON,[time]|NUM,[time]|NUM+*+PRON,[time]|[discount],[time]|[discount]+NOUN,[time]|[discount]+*+NOUN,[time]|[price],[time]|[bit],[time]|[bit]+ADV,[time]|[bit]+*+PRON,[time]|[bit]+*+PRON+AUX,[time]|[bit]+*+PRON|ADV,[time]|[bit]+*+ADV,[time]|[bit]+*+ADV|PRON,[time]|$MONEY,[time]|$MONEY+*+PRON,[discount],[discount]+NOUN,[discount]+*+NOUN,[discount]+*+NOUN|ADJ,[discount]+*+ADJ,[discount]+*+ADJ+$ORDINAL,[discount]+*+ADJ|NOUN,[discount]|ADJ,[discount]|ADJ+NOUN,[discount]|ADJ+*+NOUN,[discount]|ADV,[discount]|ADV+*+ADJ,[discount]|[time],[discount]|[time]+NOUN,[discount]|[time]+*+NOUN,[discount]|[price],[discount]|[price]+*+ADJ,[discount]|[bit],[discount]|[bit]+*+ADJ,[price],[price]+AUX,[price]+*+ADJ,[price]+*+AUX,[price]+*+AUX+ADJ,[price]|ADJ,[price]|ADJ+*+AUX,[price]|ADV,[price]|ADV+AUX,[price]|ADV+*+ADJ,[price]|ADV+*+AUX,[price]|ADV+*+AUX+ADJ,[price]|NUM,[price]|[time],[price]|[discount],[price]|[discount]+*+ADJ,[price]|$MONEY,[price]|$ORDINAL,[price]|$ORDINAL+*+ADJ,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+ADV+*+[price],[bit]+ADV+[price],[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]+*+ADV+[price],[bit]+*+[price],[bit]|ADJ,[bit]|ADJ+*+PRON,[bit]|ADJ+*+PRON+AUX,[bit]|ADJ+*+VERB|PRON,[bit]|ADJ+*+VERB,[bit]|ADV,[bit]|ADV+ADJ,[bit]|ADV+*+PRON,[bit]|ADV+*+PRON|ADJ,[bit]|ADV+*+VERB|PRON,[bit]|ADV+*+VERB,[bit]|ADV+*+VERB|ADJ,[bit]|ADV+*+ADJ+PRON,[bit]|ADV+*+ADJ,[bit]|ADV+*+[price]|PRON,[bit]|ADV+*+[price],[bit]|ADV+*+[price]|ADJ,[bit]|NUM,[bit]|NUM+*+PRON,[bit]|[time],[bit]|[time]+ADV,[bit]|[time]+*+PRON,[bit]|[time]+*+PRON+AUX,[bit]|[time]+*+PRON|ADV,[bit]|[time]+*+ADV,[bit]|[time]+*+ADV|PRON,[bit]|[discount],[bit]|[discount]+*+ADJ,[bit]|[price],[bit]|[price]+*+ADJ,[bit]|$MONEY,[bit]|$MONEY+*+PRON,[bit]|$ORDINAL,[bit]|$ORDINAL+*+ADJ,$MONEY,$MONEY+*+PRON+VERB,$MONEY+*+PRON+VERB+ADJ,$MONEY+*+PRON+VERB+ADJ+NOUN,$MONEY+*+PRON+VERB+ADJ+[discount],$MONEY+*+PRON,$MONEY|ADJ,$MONEY|ADJ+*+PRON,$MONEY|[time],$MONEY|[time]+*+PRON,$MONEY|[discount],$MONEY|[price],$MONEY|[bit],$MONEY|[bit]+*+PRON,$MONEY|$ORDINAL,$ORDINAL,$ORDINAL+NOUN,$ORDINAL+NOUN+*+PRON,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+ADJ+NOUN,$ORDINAL+*+ADJ+[time],$ORDINAL+*+ADJ+[time]+NOUN,$ORDINAL+*+[time],$ORDINAL+*+[time]+NOUN,$ORDINAL+[time],$ORDINAL+[time]+NOUN,$ORDINAL+[time]+NOUN+*+PRON,$ORDINAL+[time]+*+NOUN,$ORDINAL|ADJ,$ORDINAL|ADJ+NOUN,$ORDINAL|ADJ+*+NOUN,$ORDINAL|ADJ+*+[time],$ORDINAL|ADJ+*+[time]+NOUN,$ORDINAL|ADJ+[time],$ORDINAL|ADJ+[time]|NOUN,$ORDINAL|ADV,$ORDINAL|ADV+*+ADJ,$ORDINAL|ADV+*+ADJ+NOUN,$ORDINAL|ADV+*+ADJ+[time],$ORDINAL|NUM,$ORDINAL|[time],$ORDINAL|[time]+NOUN,$ORDINAL|[time]+*+NOUN,$ORDINAL|[discount],$ORDINAL|[discount]+NOUN,$ORDINAL|[discount]+*+NOUN,$ORDINAL|[discount]+*+ADJ,$ORDINAL|[discount]+*+ADJ|NOUN,$ORDINAL|[price],$ORDINAL|[price]+*+ADJ,$ORDINAL|[bit],$ORDINAL|[bit]+*+ADJ,$ORDINAL|$MONEY
1,1,"This particular location has a good check in deal.
",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
3,0,"They have some great offers going on now with even 70% off on some items.
",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7,1,"disappointed in the fact they don't tell you the price
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,"50$ for buffet and mind you i only ate crab legs
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,"Unbelievable, it was me & my mother so it was a total of 100$ i could have gone to red lobster and ate better quality of food.
",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1,"A little expensive but I'll definitely be back time and time again
",0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
