id,labels,sentences,ADV+PRON|VERB,ADV+PRON,ADV+PRON|ADJ,ADV+PRON|AUX,ADV+PRON|[price],ADV+VERB|PRON,ADV+VERB,ADV+VERB|ADJ,ADV+VERB|AUX,ADV,ADV+ADJ|PRON,ADV+ADJ|VERB,ADV+ADJ,ADV+ADJ|AUX,ADV+ADJ|AUX+*+NOUN,ADV+ADJ|AUX+*+[time],ADV+ADJ|[price],ADV+AUX|PRON,ADV+AUX,ADV+AUX|ADJ,ADV+AUX|ADJ+*+NOUN,ADV+AUX|ADJ+*+[time],ADV+*+PRON|VERB,ADV+*+PRON,ADV+*+PRON|ADJ,ADV+*+PRON|ADJ+NOUN,ADV+*+PRON|ADJ+[time],ADV+*+PRON|ADJ+[time]|NOUN,ADV+*+PRON|AUX,ADV+*+PRON|[price],ADV+*+VERB|PRON,ADV+*+VERB,ADV+*+VERB|ADJ,ADV+*+VERB|AUX,ADV+*+ADJ|PRON,ADV+*+ADJ|PRON+NOUN,ADV+*+ADJ|PRON+[time],ADV+*+ADJ|PRON+[time]|NOUN,ADV+*+ADJ|VERB,ADV+*+ADJ,ADV+*+ADJ|AUX+PRON,ADV+*+ADJ|AUX,ADV+*+ADJ|[price],ADV+*+AUX|PRON,ADV+*+AUX|VERB,ADV+*+AUX,ADV+*+AUX|ADJ+PRON,ADV+*+AUX|ADJ,ADV+*+[price]|PRON,ADV+*+[price]|VERB,ADV+*+[price],ADV+*+[price]|ADJ,ADV+*+[price]|AUX,ADV+[price]|PRON,ADV+[price],ADV+[price]|ADJ,ADV+[price]|AUX,ADV|PROPN,ADV|NUM,ADV|NUM+*+PRON,ADV|[price],ADV|[price]+AUX,ADV|[price]+*+ADJ,ADV|[price]+*+ADJ|AUX,ADV|[price]+*+AUX,ADV|[price]+*+AUX+ADJ,ADV|[discount],ADV|[discount]+*+ADJ,ADV|[time],ADV|[time]+*+PRON,ADV|$DATE,ADV|$MONEY,ADV|$MONEY+*+PRON,ADV|$ORDINAL,ADV|$ORDINAL+*+ADJ,NUM,NUM+NOUN,NUM+*+PRON,NUM+*+PRON|NOUN,NUM+*+PRON|[discount],NUM+*+PRON|$PERCENT,NUM+*+NOUN|PRON,NUM+*+NOUN,NUM+*+[discount]|PRON,NUM+*+[discount],NUM+*+[discount]|NOUN,NUM+*+$PERCENT|PRON,NUM+*+$PERCENT,NUM+*+$PERCENT|NOUN,NUM+$PERCENT,NUM+$PERCENT|NOUN,NUM|ADV,NUM|ADV+*+PRON,NUM|[price],NUM|[discount],NUM|[discount]+NOUN,NUM|[discount]+*+NOUN,NUM|[time],NUM|[time]+NOUN,NUM|[time]+*+PRON,NUM|[time]+*+PRON|NOUN,NUM|[time]+*+NOUN,NUM|[place],NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,[price],[price]+AUX,[price]|PROPN,[price]|ADV,[price]|ADV+AUX,[price]|ADV+*+ADJ,[price]|ADV+*+ADJ|AUX,[price]|ADV+*+AUX,[price]|ADV+*+AUX+ADJ,[price]|NUM,[price]|[discount],[price]|[discount]+*+ADJ,[price]|[time],[price]|[place],[price]|[place]+AUX,[price]|[place]+*+AUX,[price]|$DATE,[price]|$MONEY,[price]|$ORDINAL,[price]|$ORDINAL+*+ADJ,[price]|$PERCENT,[discount],[discount]+NOUN,[discount]+*+NOUN,[discount]+*+NOUN|ADJ,[discount]|PROPN,[discount]|PROPN+NOUN,[discount]|PROPN+*+NOUN,[discount]|ADV,[discount]|ADV+*+ADJ,[discount]|NUM,[discount]|NUM+NOUN,[discount]|NUM+*+NOUN,[discount]|[price],[discount]|[price]+*+ADJ,[discount]|[time],[discount]|[time]+NOUN,[discount]|[time]+*+NOUN,[discount]|[place],[discount]|$DATE,[discount]|$DATE+NOUN,[discount]|$DATE+*+NOUN,[time],[time]+NOUN,[time]+NOUN|ADV,[time]+ADV,[time]+ADV|NOUN,[time]+*+NOUN,[time]+*+NOUN|PRON,[time]|PROPN,[time]|PROPN+NOUN,[time]|PROPN+*+NOUN,[time]|ADV,[time]|ADV+*+PRON,[time]|NUM,[time]|NUM+NOUN,[time]|NUM+*+PRON,[time]|NUM+*+PRON|NOUN,[time]|NUM+*+NOUN,[time]|[price],[time]|[discount],[time]|[discount]+NOUN,[time]|[discount]+*+NOUN,[time]|[place],[time]|[place]+*+ADV,[time]|$DATE,[time]|$DATE+NOUN,[time]|$DATE+*+NOUN,[time]|$MONEY,[time]|$MONEY+*+PRON,[time]|$PERCENT,[time]|$PERCENT+NOUN,[time]|$PERCENT+*+NOUN,[place],[place]+AUX,[place]+*+VERB,[place]+*+VERB|ADV,[place]+*+VERB|AUX,[place]|PROPN,[place]|ADV,[place]|ADV+AUX,[place]|ADV+*+VERB,[place]|ADV+*+VERB|AUX,[place]|ADV+*+AUX,[place]|NUM,[place]|[price],[place]|[price]+AUX,[place]|[price]+*+AUX,[place]|[discount],[place]|[time],[place]|[time]+*+ADV,[place]|$DATE,[place]|$MONEY,[place]|$ORDINAL,[place]|$PERCENT
1,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
3,0,"They have some great offers going on now with even 70% off on some items.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,"Prices were reasonable and mission accomplished!
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
7,1,"disappointed in the fact they don't tell you the price
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0,"50$ for buffet and mind you i only ate crab legs
",1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
9,0,"Unbelievable, it was me & my mother so it was a total of 100$ i could have gone to red lobster and ate better quality of food.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
