id,labels,sentences,ADV,ADV+VERB,ADV+VERB|AUX,ADV+VERB|AUX+*+NOUN,ADV+VERB|NUM,ADV+VERB|NUM+NOUN,ADV+VERB|NUM+*+NOUN,ADV+VERB|$PERCENT,ADV+VERB|$PERCENT+NOUN,ADV+VERB|$PERCENT+*+NOUN,ADV+AUX,ADV+AUX|VERB,ADV+AUX|VERB+*+NOUN,ADV+AUX|NUM,ADV+AUX|NUM+*+NOUN,ADV+AUX|$PERCENT,ADV+AUX|$PERCENT+*+NOUN,ADV+NUM,ADV+NUM|VERB,ADV+NUM|VERB+NOUN,ADV+NUM|VERB+*+NOUN,ADV+NUM|AUX,ADV+NUM|AUX+*+NOUN,ADV+*+VERB,ADV+*+VERB+NOUN,ADV+*+NOUN,ADV+*+ADJ,ADV+*+ADJ|VERB,ADV+*+ADJ|VERB+NOUN,ADV+*+ADJ|NOUN,ADV+*+ADJ|AUX,ADV+*+ADJ|NUM,ADV+*+ADJ|NUM+NOUN,ADV+*+ADJ|$PERCENT,ADV+*+ADJ|$PERCENT+NOUN,ADV+*+AUX+PRON,ADV+*+AUX+PRON|ADJ,ADV+*+AUX,ADV+*+AUX+ADJ|PRON,ADV+*+AUX+ADJ,ADV+*+NUM,ADV+*+NUM|VERB,ADV+*+NUM|VERB+NOUN,ADV+*+NUM|NOUN,ADV+*+NUM|ADJ,ADV+*+NUM|ADJ+NOUN,ADV+*+NUM|AUX,ADV+*+$PERCENT,ADV+*+$PERCENT|VERB,ADV+*+$PERCENT|VERB+NOUN,ADV+*+$PERCENT|NOUN,ADV+*+$PERCENT|ADJ,ADV+*+$PERCENT|ADJ+NOUN,ADV+*+$PERCENT|AUX,ADV+$PERCENT,ADV+$PERCENT|VERB,ADV+$PERCENT|VERB+NOUN,ADV+$PERCENT|VERB+*+NOUN,ADV+$PERCENT|AUX,ADV+$PERCENT|AUX+*+NOUN,ADV|[go],ADV|[go]+*+ADJ,ADV|[go]+*+ADJ+NOUN,ADV|$MONEY,ADV|$MONEY+*+NOUN,ADV|$MONEY+*+AUX,NUM,NUM+NOUN,NUM+*+PRON+VERB,NUM+*+PRON+VERB|AUX,NUM+*+PRON,NUM+*+PRON+AUX|VERB,NUM+*+PRON+AUX,NUM+*+NOUN+PRON,NUM+*+NOUN+PRON|ADV,NUM+*+NOUN,NUM+*+NOUN+ADV|PRON,NUM+*+NOUN+ADV,NUM+*+ADV,NUM+*+$MONEY+PRON,NUM+*+$MONEY+PRON+AUX+VERB,NUM+*+$MONEY+PRON+AUX,NUM+*+$MONEY+PRON+AUX+[go],NUM+*+$MONEY,NUM+*+$PERCENT,NUM+*+$PERCENT+ADV,NUM+$MONEY,NUM+$MONEY|NOUN+PRON,NUM+$MONEY|NOUN,NUM+$MONEY|NOUN+*+PRON,NUM+$MONEY|NOUN+*+PRON+AUX+VERB,NUM+$MONEY|NOUN+*+PRON+AUX,NUM+$MONEY|NOUN+*+PRON+AUX+[go],NUM+$MONEY|NOUN+*+AUX,NUM+$MONEY|NOUN+*+AUX+VERB,NUM+$MONEY|NOUN+*+AUX+[go],NUM+$MONEY|$PERCENT,NUM+$PERCENT,NUM+$PERCENT|NOUN,NUM+$PERCENT|NOUN+ADV,NUM+$PERCENT|NOUN+*+ADV,NUM+$PERCENT|$MONEY,NUM|[item],NUM|[item]+*+PRON+VERB,NUM|[item]+*+PRON,NUM|[bit],NUM|[bit]+*+PRON,NUM|[bit]+*+PRON+AUX,NUM|[bit]+*+ADV,NUM|[mind],NUM|[mind]+*+PRON,NUM|[go],NUM|[go]+*+ADV,[item]+PRON,[item],[item]+*+PRON+VERB,[item]+*+PRON+VERB+ADV,[item]+*+PRON+VERB+ADV+AUX,[item]+*+PRON,[item]+*+VERB,[item]+*+VERB+ADV,[item]+*+VERB+ADV+AUX,[item]|ADV,[item]|ADV+*+VERB,[item]|NUM,[item]|NUM+*+PRON+VERB,[item]|NUM+*+PRON,[item]|[mind]+PRON,[item]|[mind],[item]|[mind]+*+PRON,[item]|[mind]+*+VERB,[item]|[mind]+*+VERB|PRON,[item]|[go],[item]|$MONEY+PRON,[item]|$MONEY,[item]|$MONEY+*+PRON+VERB,[item]|$MONEY+*+PRON,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]|ADV,[bit]|ADV+*+VERB,[bit]|ADV+*+ADJ,[bit]|NUM,[bit]|NUM+*+PRON,[bit]|NUM+*+PRON+AUX,[bit]|NUM+*+ADV,[bit]|[item],[bit]|[item]+*+PRON,[bit]|[item]+*+VERB,[bit]|[mind],[bit]|[mind]+*+PRON,[bit]|[mind]+*+VERB,[bit]|[mind]+*+VERB|PRON,[bit]|[go],[bit]|[go]+*+ADJ,[bit]|[go]+*+ADJ|ADV,[bit]|[go]+*+ADV,[bit]|[go]+*+ADV|ADJ,[bit]|$MONEY,[bit]|$MONEY+*+PRON,[bit]|$MONEY+*+PRON+AUX,[bit]|$PERCENT,[bit]|$PERCENT+ADV,[bit]|$PERCENT+*+ADV,[mind]+PRON|VERB,[mind]+PRON,[mind]+VERB|PRON,[mind]+VERB,[mind],[mind]+*+PRON,[mind]+*+PRON+ADV+VERB,[mind]+*+PRON+ADV+VERB+NOUN,[mind]+*+PRON+ADV,[mind]+*+PRON|VERB,[mind]+*+VERB,[mind]+*+VERB|PRON,[mind]|ADV,[mind]|ADV+VERB,[mind]|ADV+*+VERB,[mind]|NUM,[mind]|NUM+*+PRON,[mind]|[item]+PRON,[mind]|[item],[mind]|[item]+*+PRON,[mind]|[item]+*+VERB,[mind]|[item]+*+VERB|PRON,[mind]|[go],[mind]|$MONEY+PRON,[mind]|$MONEY,[mind]|$MONEY+*+PRON,[mind]|$PERCENT,[go],[go]+*+ADJ,[go]+*+ADJ+NOUN,[go]+*+ADJ|ADV,[go]+*+ADV,[go]+*+ADV|ADJ,[go]|ADV,[go]|ADV+*+ADJ,[go]|ADV+*+ADJ+NOUN,[go]|NUM,[go]|NUM+*+ADV,[go]|[mind],[go]|$MONEY,$MONEY+PRON,$MONEY,$MONEY+NOUN,$MONEY+*+PRON+VERB,$MONEY+*+PRON+VERB|AUX,$MONEY+*+PRON,$MONEY+*+PRON+AUX|VERB,$MONEY+*+PRON+AUX,$MONEY+*+NOUN+PRON,$MONEY+*+NOUN+PRON+AUX+VERB,$MONEY+*+NOUN+PRON+AUX,$MONEY+*+NOUN+PRON+AUX+[go],$MONEY+*+NOUN,$MONEY+*+NOUN|PRON,$MONEY+*+AUX,$MONEY+*+AUX+VERB,$MONEY+*+AUX+[go],$MONEY+*+AUX|PRON+VERB,$MONEY+*+AUX|PRON,$MONEY|ADV,$MONEY|ADV+*+NOUN,$MONEY|ADV+*+AUX,$MONEY|NUM,$MONEY|NUM+NOUN,$MONEY|NUM+*+PRON+VERB,$MONEY|NUM+*+PRON+VERB|AUX,$MONEY|NUM+*+PRON,$MONEY|NUM+*+PRON+AUX|VERB,$MONEY|NUM+*+PRON+AUX,$MONEY|NUM+*+NOUN+PRON,$MONEY|NUM+*+NOUN,$MONEY|[item]+PRON,$MONEY|[item],$MONEY|[item]+*+PRON+VERB,$MONEY|[item]+*+PRON,$MONEY|[bit],$MONEY|[bit]+*+PRON,$MONEY|[bit]+*+PRON+AUX,$MONEY|[mind]+PRON,$MONEY|[mind],$MONEY|[mind]+*+PRON,$MONEY|[go],$MONEY|$PERCENT,$MONEY|$PERCENT+NOUN,$MONEY|$PERCENT+*+NOUN,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+*+ADV,$PERCENT+ADV,$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+ADV,$PERCENT|ADV,$PERCENT|ADV+*+NOUN,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN,$PERCENT|NUM+*+NOUN+ADV,$PERCENT|NUM+*+ADV,$PERCENT|[item],$PERCENT|[bit],$PERCENT|[bit]+ADV,$PERCENT|[bit]+*+ADV,$PERCENT|[mind],$PERCENT|[go],$PERCENT|[go]+*+ADV,$PERCENT|$MONEY,$PERCENT|$MONEY+NOUN,$PERCENT|$MONEY+*+NOUN
s0,1,"This particular location has a good check in deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1,1,"some of the items they sale here are a bit over priced but if you don't mind paying a bit extra this is the place to go. 
",1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
s2,1,They have some great offers going on now with even 70% off on some items.,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s6,1,50$ for buffet and mind you i only ate crab legs,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
s7,1,"Unbelievable, it was me & my mother so it was a total of 100$ i could have gone to red lobster and ate better quality of food.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
s8,1,"A little expensive but I'll definitely be back time and time again
",1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s12,1,Adult tickets are $ 13.50 but they have military discount .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s11,1,"Me : Then why did you tell me they were on discount ?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3,0,"Customer service told me "" nothing was rescheduled""
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
