id,labels,sentences,PROPN,PROPN+VERB,PROPN+VERB|NOUN,PROPN+VERB|AUX,PROPN+NOUN,PROPN+NOUN|VERB,PROPN+NOUN|ADJ,PROPN+NOUN|AUX,PROPN+NOUN|AUX+*+ADJ,PROPN+NOUN|AUX+*+ADJ|ADV,PROPN+NOUN|AUX+*+ADV,PROPN+NOUN|AUX+*+ADV|ADJ,PROPN+ADJ,PROPN+ADJ|NOUN,PROPN+ADJ|AUX,PROPN+AUX,PROPN+AUX|VERB,PROPN+AUX|NOUN,PROPN+AUX|NOUN+*+ADJ,PROPN+AUX|NOUN+*+ADJ|ADV,PROPN+AUX|NOUN+*+ADV,PROPN+AUX|NOUN+*+ADV|ADJ,PROPN+AUX|ADJ,PROPN+*+VERB,PROPN+*+VERB+NOUN,PROPN+*+VERB+NOUN|NUM,PROPN+*+VERB+NUM,PROPN+*+VERB+NUM|NOUN,PROPN+*+VERB|NOUN,PROPN+*+VERB|ADJ,PROPN+*+VERB|ADJ+NOUN,PROPN+*+VERB|ADV,PROPN+*+VERB|AUX,PROPN+*+VERB|AUX+NUM,PROPN+*+VERB|$MONEY,PROPN+*+VERB|$MONEY+NUM,PROPN+*+NOUN,PROPN+*+NOUN|VERB,PROPN+*+NOUN|ADJ,PROPN+*+NOUN|ADV,PROPN+*+NOUN|AUX,PROPN+*+NOUN|[take],PROPN+*+NOUN|$MONEY,PROPN+*+ADJ,PROPN+*+ADJ+NOUN,PROPN+*+ADJ|VERB,PROPN+*+ADJ|VERB+NOUN,PROPN+*+ADJ|NOUN,PROPN+*+ADJ|ADV,PROPN+*+ADJ|AUX,PROPN+*+ADJ|[take],PROPN+*+ADV,PROPN+*+ADV+ADJ,PROPN+*+ADV+ADJ|$MONEY,PROPN+*+ADV+$MONEY,PROPN+*+ADV+$MONEY|ADJ,PROPN+*+ADV|VERB,PROPN+*+ADV|NOUN,PROPN+*+ADV|ADJ,PROPN+*+ADV|AUX,PROPN+*+ADV|[take],PROPN+*+AUX,PROPN+*+AUX+ADV,PROPN+*+AUX+ADV|NUM,PROPN+*+AUX+NUM,PROPN+*+AUX+NUM|ADV,PROPN+*+AUX|VERB,PROPN+*+AUX|VERB+NUM,PROPN+*+AUX|NOUN,PROPN+*+AUX|ADJ,PROPN+*+AUX|ADV,PROPN+*+AUX|[take],PROPN+*+AUX|[take]+NUM,PROPN+*+AUX|$MONEY,PROPN+*+AUX|$MONEY+NUM,PROPN|[try],PROPN|[try]+*+VERB,PROPN|[try]+*+VERB+NOUN,PROPN|[time],PROPN|[time]+*+NOUN,PROPN|[time]+*+NOUN|ADV,PROPN|[time]+*+ADV,PROPN|[time]+*+ADV|NOUN,PROPN|[shop],PROPN|[shop]+*+ADV,PROPN|[shop]+*+ADV|AUX,PROPN|[shop]+*+AUX,PROPN|[shop]+*+AUX|ADV,NUM,NUM+NOUN,NUM+*+VERB,NUM+*+VERB|PROPN,NUM+*+VERB|NOUN,NUM+*+VERB|NOUN+ADV,NUM+*+VERB|$ORG,NUM+*+PROPN,NUM+*+PROPN|VERB,NUM+*+PROPN|NOUN,NUM+*+PROPN|ADV,NUM+*+NOUN,NUM+*+NOUN+VERB,NUM+*+NOUN+ADV,NUM+*+ADV,NUM+*+ADV|PROPN,NUM+*+ADV|NOUN,NUM+*+ADV|$ORG,NUM+*+$ORG,NUM+*+$ORG|VERB,NUM+*+$ORG|NOUN,NUM+*+$ORG|ADV,NUM|PROPN,NUM|PROPN+NOUN,NUM|PROPN+*+VERB,NUM|PROPN+*+NOUN,NUM|PROPN+*+ADV,NUM|[time],NUM|[time]+*+NOUN,NUM|[time]+*+NOUN+ADV,NUM|[time]+*+ADV,NUM|[shop],NUM|[shop]+*+ADV,NUM|$ORG,NUM|$ORG+NOUN,NUM|$ORG+*+PROPN,NUM|$ORG+*+NOUN,NUM|$ORG+*+ADV,[try],[try]+*+VERB+PRON,[try]+*+VERB+PRON|NOUN,[try]+*+VERB,[try]+*+VERB+NOUN|PRON,[try]+*+VERB+NOUN,[try]|PROPN,[try]|PROPN+*+VERB,[try]|PROPN+*+VERB+NOUN,[try]|[time],[try]|[shop],[try]|[take],[try]|$DATE,[try]|$MONEY,[try]|$ORDINAL,[try]|$ORG,[shop]+PRON,[shop]+PRON|ADV,[shop],[shop]+ADV|PRON,[shop]+ADV,[shop]|PROPN,[shop]|PROPN+*+ADV,[shop]|PROPN+*+ADV|AUX,[shop]|PROPN+*+AUX,[shop]|PROPN+*+AUX|ADV,[shop]|NUM,[shop]|NUM+*+ADV,[shop]|[try],[shop]|[time],[shop]|[time]+ADV,[shop]|[time]+*+ADV,[shop]|[take],[shop]|$DATE,[shop]|$MONEY,[shop]|$ORDINAL,[shop]|$ORG,[shop]|$ORG+*+ADV,[shop]|$ORG+*+ADV|AUX,[shop]|$ORG+*+AUX,[shop]|$ORG+*+AUX|ADV,[take],[take]+NUM,[take]+*+NOUN,[take]+*+NOUN+ADV,[take]|PROPN,[take]|PROPN+*+NOUN,[take]|NUM,[take]|NUM+*+NOUN,[take]|NUM+*+NOUN+ADV,[take]|[try],[take]|[time],[take]|[time]+*+NOUN,[take]|[time]+*+NOUN+ADV,[take]|[shop],[take]|$DATE,[take]|$DATE+*+NOUN,[take]|$MONEY,[take]|$MONEY+NUM,[take]|$MONEY+*+NOUN,[take]|$MONEY+*+NOUN|NUM,[take]|$MONEY+*+NUM,[take]|$MONEY+*+NUM|NOUN,[take]|$ORDINAL,[take]|$ORG,[take]|$ORG+*+NOUN,$MONEY,$MONEY+NOUN,$MONEY+NOUN|NUM,$MONEY+NUM,$MONEY+NUM|NOUN,$MONEY|PROPN,$MONEY|PROPN+NOUN,$MONEY|PROPN+*+NOUN,$MONEY|NUM,$MONEY|NUM+NOUN,$MONEY|NUM+*+NOUN,$MONEY|[try],$MONEY|[time],$MONEY|[time]+*+NOUN,$MONEY|[shop],$MONEY|[take],$MONEY|[take]+NUM,$MONEY|[take]+*+NOUN,$MONEY|[take]+*+NOUN|NUM,$MONEY|[take]+*+NUM,$MONEY|[take]+*+NUM|NOUN,$MONEY|$DATE,$MONEY|$DATE+NOUN,$MONEY|$DATE+*+NOUN,$MONEY|$ORDINAL,$MONEY|$ORG,$MONEY|$ORG+NOUN,$ORG,$ORG+PROPN,$ORG+PROPN|NOUN,$ORG+PROPN|NOUN+*+ADV,$ORG+PROPN|AUX,$ORG+PROPN|AUX+*+ADV,$ORG+NOUN,$ORG+NOUN|PROPN,$ORG+NOUN|PROPN+*+ADV,$ORG+NOUN|AUX,$ORG+NOUN|AUX+*+ADV,$ORG+AUX,$ORG+AUX|PROPN,$ORG+AUX|PROPN+*+ADV,$ORG+AUX|NOUN,$ORG+AUX|NOUN+*+ADV,$ORG|PROPN,$ORG|PROPN+NOUN,$ORG|PROPN+NOUN|AUX,$ORG|PROPN+NOUN|AUX+*+ADV,$ORG|PROPN+AUX,$ORG|PROPN+AUX|NOUN,$ORG|PROPN+AUX|NOUN+*+ADV,$ORG|PROPN+*+NOUN,$ORG|PROPN+*+NOUN|ADV,$ORG|PROPN+*+NOUN|AUX,$ORG|PROPN+*+ADV,$ORG|PROPN+*+ADV+ADJ,$ORG|PROPN+*+ADV|NOUN,$ORG|PROPN+*+ADV|AUX,$ORG|PROPN+*+AUX,$ORG|PROPN+*+AUX+ADV,$ORG|PROPN+*+AUX|NOUN,$ORG|PROPN+*+AUX|ADV,$ORG|NUM,$ORG|NUM+NOUN,$ORG|NUM+*+PROPN,$ORG|NUM+*+NOUN,$ORG|NUM+*+ADV,$ORG|[try],$ORG|[time],$ORG|[time]+*+NOUN,$ORG|[time]+*+NOUN|ADV,$ORG|[time]+*+ADV,$ORG|[time]+*+ADV|NOUN,$ORG|[shop],$ORG|[shop]+*+ADV,$ORG|[shop]+*+ADV|AUX,$ORG|[shop]+*+AUX,$ORG|[shop]+*+AUX|ADV,$ORG|[take],$ORG|[take]+*+NOUN,$ORG|$DATE,$ORG|$DATE+NOUN,$ORG|$DATE+*+NOUN,$ORG|$ORDINAL,$ORG|$ORDINAL+*+PROPN
s101,1,"I tried to contact them through the app and website and still haven't heard back.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8,1,"A little expensive but I'll definitely be back time and time again
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s26,1,I purchased a Gibeon Meteorite and black zirconium wedding band from Rings Unique for approximately $1200.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
s64,1,"Our host Reinhold is so nice and gracious.
",1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
s83,1,Slowest coffee shop I've been to in boston. Took 15 minutes for me to get a breakfast sandwich.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
s19,1,"Prices vary so you have to shop around, but every once in a while you can find a really awesome deal.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
s44,1,"When we were about to pay , the server handed us a bill and I reminded her that we were using the 1/2 off Scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... REALLY ? ! ?",1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0
s17,1,I 've been using this Discount Tire location for many years and for my last 3 vehicles .,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
s47,1,"And they let me apply the discount to both of our tickets .
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s45,1,Only downside : three entrees served simultaneously but fourth ( beet/ goat cheese ravioli ) was 2 - 3 minutes later which allowed my accompaniments ( delicious creamy polenta ) to cool off to much .,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
