,id,example,label,positive
0,547,RT VersaceSilk: When you and your boys discover a hoe ,offensive,1
1,83,FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,hate,1
2,229,RT DanielGennaoui: A bird that courts females by building a beautiful nest with bright objects:  &#8230; #wildlife ,none,0
3,508,"RT DezzzyBo: I want attention yet she's on twitter talking about getting somebodies dick wet tonight and what her tongue does, deez hoes g&#8230;",offensive,1
4,257,"RT FriendlyAssh0le: Todays Horoscope: 

you're still a hoe

That is all. have a nice day",none,0
5,568,RobFernau GregAbbott_TX NRA dead babies piled up like trash at a dump Something to be proud of,offensive,1
6,560,That bitch said her pussy pops severely thoe &#128514;&#128514;&#128514;&#128514;,offensive,1
7,350,"almuirSI Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",none,0
8,216,"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses.",none,0
9,268,RT danwashburn: The Man Who Captured Muammar Gaddafi Was Wearing A Yankees Cap: ,none,0
10,295,Nothing more yokel MSU fan than to constantly reassess Izzo *aka our only consistent winner since D. Daugherty or Biggie flipping Munn*,none,0
11,149,Those guys are the definition of white trash,hate,1
12,236,Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!,none,0
13,173,"""ashlingwilde: ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",hate,1
14,192,Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,hate,1
15,227,"&#8220;lakeshow73: WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those ""Rose(ie) colored glasses off",none,0
16,570,"There are girls. There are women. There are ladies. And there are bitches. You ma'am, is a beeeitch. A dumb ass bitch hahaha.",offensive,1
17,531,Some rednecks just raced down the freeway &gt;_e,offensive,1
18,1,RT Asshole_God: Hate fags? The answer's yes.,hate,1
19,219,RT chughes717: TyZebruh trash cans are always demanding new music from the gawd Tyga,none,0
20,326,TheLittleFella_ do yourself a favor and ball that up and throw in the trash.,none,0
21,514,"dont trust a hoe
never trust a hoe",offensive,1
22,176,AtBlackface MrMooncricket UncleUnco BobbyBotsods FuckTheMallcops RacistNegro69 ape? Fuck u broke ass racist,hate,1
23,461,I don't even play flappy bird anymore because fuck him,offensive,1
24,377,"elchavaloko Buckm00se yeah sorry monkey team just keeps kicking ppl, waiting for muh pizza",none,0
25,234,RT OGMarcusC: I hate stereotypes. Preconceived notions that black men are athletes or criminals.. Black women are ghetto and confined to t&#8230;,none,0
26,333,Some Jihadi posted a bio of the #ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift.,none,0
27,258,RT SC4K: Getting ready for the annual heart and sole luncheon RenHotels #cle with EricGordon_CEO ,none,0
28,337,MillerCoors Thanks for the follow guys! I'm enjoying a cold yellow belly right now.,none,0
29,207,Photo check for background spooks. ,none,0
30,5,Barbod6FCB _cblaze ODDBEAST cracker jack shut the fuck up,hate,1
31,145,People who grow their own vegetables are nothing but common peasant trash.,hate,1
32,389,"RT SBNation: Plenty of Kobe vs. Dwight trash talk after the game, too.  ",none,0
33,36,sassyharryballs ur ballsack is hairy gtfo tranny prude bitch,hate,1
34,358,McKinseey the grass is greener on the other side of the fence of course it's also a soggy septic field,none,0
35,458,"Dress like a hoe, I'm goin at you like a hoe just like any other nite. Forget Halloween.",offensive,1
36,495,"Lmfao but "" we don't talk "" gtfoh &#128514;&#128514; bitch I guessed it! &amp; I was right &#128514;&#128527;",offensive,1
37,474,Suck my super monkey balls,offensive,1
38,241,"""ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",none,0
39,325,"""iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;",none,0
40,529,RT LookinnnAss: - you a pussy I see yo whiskers!,offensive,1
41,348,"Mark Teixeira finally stepping up, HR and couple of BBs #Yankees",none,0
42,525,Totaled RT CSharp_C3ENT: Crashed dat hoe RT viaNAWF: Drake verse on that nicki &gt;&gt;&gt;&gt;&gt;,offensive,1
43,250,NipseyHussle nip Im tryna buy a copy of #Crenshaw!! But your  website is down.. Let me know something!,none,0
44,395,Now infuriated Jihadis are putting out murder requests on #Saudi fighter pilots who participated in the bombings in #Syria #ISIS,none,0
45,472,"She suckin on my dick, cuz I'm a pretty bitch",offensive,1
