id,example,label
547,RT VersaceSilk: When you and your boys discover a hoe ,offensive
83,FreeAJay you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,hate
229,RT DanielGennaoui: A bird that courts females by building a beautiful nest with bright objects:  &#8230; #wildlife ,none
508,"RT DezzzyBo: I want attention yet she's on twitter talking about getting somebodies dick wet tonight and what her tongue does, deez hoes g&#8230;",offensive
257,"RT FriendlyAssh0le: Todays Horoscope: 

you're still a hoe

That is all. have a nice day",none
568,RobFernau GregAbbott_TX NRA dead babies piled up like trash at a dump Something to be proud of,offensive
560,That bitch said her pussy pops severely thoe &#128514;&#128514;&#128514;&#128514;,offensive
350,"almuirSI Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",none
216,"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses.",none
268,RT danwashburn: The Man Who Captured Muammar Gaddafi Was Wearing A Yankees Cap: ,none
295,Nothing more yokel MSU fan than to constantly reassess Izzo *aka our only consistent winner since D. Daugherty or Biggie flipping Munn*,none
149,Those guys are the definition of white trash,hate
236,Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!,none
173,"""ashlingwilde: ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",hate
192,Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,hate
227,"&#8220;lakeshow73: WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those ""Rose(ie) colored glasses off",none
570,"There are girls. There are women. There are ladies. And there are bitches. You ma'am, is a beeeitch. A dumb ass bitch hahaha.",offensive
531,Some rednecks just raced down the freeway &gt;_e,offensive
1,RT Asshole_God: Hate fags? The answer's yes.,hate
219,RT chughes717: TyZebruh trash cans are always demanding new music from the gawd Tyga,none
326,TheLittleFella_ do yourself a favor and ball that up and throw in the trash.,none
514,"dont trust a hoe
never trust a hoe",offensive
176,AtBlackface MrMooncricket UncleUnco BobbyBotsods FuckTheMallcops RacistNegro69 ape? Fuck u broke ass racist,hate
461,I don't even play flappy bird anymore because fuck him,offensive
377,"elchavaloko Buckm00se yeah sorry monkey team just keeps kicking ppl, waiting for muh pizza",none
234,RT OGMarcusC: I hate stereotypes. Preconceived notions that black men are athletes or criminals.. Black women are ghetto and confined to t&#8230;,none
333,Some Jihadi posted a bio of the #ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift.,none
258,RT SC4K: Getting ready for the annual heart and sole luncheon RenHotels #cle with EricGordon_CEO ,none
337,MillerCoors Thanks for the follow guys! I'm enjoying a cold yellow belly right now.,none
207,Photo check for background spooks. ,none
5,Barbod6FCB _cblaze ODDBEAST cracker jack shut the fuck up,hate
145,People who grow their own vegetables are nothing but common peasant trash.,hate
389,"RT SBNation: Plenty of Kobe vs. Dwight trash talk after the game, too.  ",none
36,sassyharryballs ur ballsack is hairy gtfo tranny prude bitch,hate
358,McKinseey the grass is greener on the other side of the fence of course it's also a soggy septic field,none
458,"Dress like a hoe, I'm goin at you like a hoe just like any other nite. Forget Halloween.",offensive
