id,labels,sentences,NUM,NUM+NOUN,NUM+*+PRON,NUM+*+PRON|NOUN,NUM+*+PRON|ADV,NUM+*+PRON|$PERCENT,NUM+*+NOUN+PRON,NUM+*+NOUN+PRON|ADV,NUM+*+NOUN,NUM+*+NOUN+ADV,NUM+*+ADV,NUM+*+ADV|NOUN,NUM+*+ADV|$MONEY,NUM+*+$MONEY,NUM+*+$MONEY|NOUN+PRON,NUM+*+$MONEY|NOUN,NUM+*+$MONEY|$PERCENT,NUM+*+$PERCENT,NUM+*+$PERCENT|NOUN,NUM+*+$PERCENT|NOUN+ADV,NUM+$MONEY,NUM+$MONEY|NOUN+PRON,NUM+$MONEY|NOUN,NUM+$MONEY|NOUN+*+PRON,NUM+$MONEY|NOUN+*+AUX,NUM+$MONEY|$PERCENT,NUM+$PERCENT,NUM+$PERCENT|NOUN,NUM+$PERCENT|NOUN+ADV,NUM+$PERCENT|NOUN+*+ADV,NUM|[item],NUM|[item]+*+PRON,NUM|[bit],NUM|[bit]+*+PRON,NUM|[bit]+*+PRON|ADV,NUM|[bit]+*+ADV,NUM|[price],NUM|[mind],NUM|[mind]+*+PRON,NUM|$ORDINAL,NUM|$ORDINAL+NOUN,NUM|$ORDINAL+*+NOUN,[item]+PRON,[item],[item]+*+PRON+VERB,[item]+*+PRON+VERB+ADV,[item]+*+PRON+VERB+ADV+AUX,[item]+*+PRON,[item]+*+VERB,[item]+*+VERB+ADV,[item]+*+VERB+ADV+AUX,[item]|[price],[item]|[mind]+PRON,[item]|[mind],[item]|[mind]+*+PRON,[item]|[mind]+*+VERB,[item]|[mind]+*+VERB|PRON,[item]|$MONEY+PRON,[item]|$MONEY,[item]|$MONEY+*+PRON,[item]|$ORDINAL,[bit],[bit]+ADJ+PRON,[bit]+ADJ+PRON+AUX,[bit]+ADJ+PRON+AUX+*+NOUN,[bit]+ADJ+PRON+*+AUX,[bit]+ADJ,[bit]+ADJ+*+PRON,[bit]+ADJ+*+PRON+AUX,[bit]+ADJ+*+AUX,[bit]+ADV,[bit]+ADV+VERB,[bit]+ADV+*+VERB,[bit]+ADV+*+[price],[bit]+ADV+[price],[bit]+*+PRON,[bit]+*+PRON+AUX,[bit]+*+VERB,[bit]+*+ADJ+PRON,[bit]+*+ADJ+PRON+AUX,[bit]+*+ADJ,[bit]+*+ADV,[bit]+*+ADV+VERB,[bit]+*+ADV+[price],[bit]+*+[price],[bit]|[item],[bit]|[item]+*+PRON,[bit]|[item]+*+VERB,[bit]|[price],[bit]|[price]+*+ADJ,[bit]|[mind],[bit]|[mind]+*+PRON,[bit]|[mind]+*+VERB,[bit]|[mind]+*+VERB|PRON,[bit]|$MONEY,[bit]|$MONEY+*+PRON,[bit]|$MONEY+*+PRON+AUX,[bit]|$ORDINAL,[bit]|$ORDINAL+*+ADJ,[bit]|$PERCENT,[bit]|$PERCENT+ADV,[bit]|$PERCENT+*+ADV,[price],[price]+AUX,[price]+*+ADJ,[price]+*+AUX,[price]+*+AUX+ADJ,[price]|[mind],[price]|$MONEY,[price]|$MONEY+*+AUX,[price]|$ORDINAL,[price]|$ORDINAL+*+ADJ,[price]|$PERCENT,[mind]+PRON|VERB,[mind]+PRON,[mind]+VERB,[mind],[mind]+*+PRON,[mind]+*+PRON+ADV+VERB,[mind]+*+PRON+ADV+VERB+NOUN,[mind]+*+PRON+ADV,[mind]+*+PRON|VERB,[mind]+*+VERB,[mind]|$MONEY+PRON,[mind]|$MONEY,[mind]|$MONEY+*+PRON,[mind]|$ORDINAL,[mind]|$PERCENT,$MONEY+PRON,$MONEY+PRON+AUX+VERB,$MONEY+PRON+AUX+VERB+*+ADJ,$MONEY+PRON+AUX+VERB+*+ADJ+NOUN,$MONEY+PRON+AUX,$MONEY+PRON+AUX+*+VERB,$MONEY+PRON+*+AUX+VERB,$MONEY+PRON+*+AUX,$MONEY,$MONEY+NOUN+PRON,$MONEY+NOUN+PRON+AUX+VERB,$MONEY+NOUN+PRON+AUX+VERB+*+ADJ,$MONEY+NOUN+PRON+AUX,$MONEY+NOUN+PRON+AUX+*+VERB,$MONEY+NOUN+PRON+*+AUX+VERB,$MONEY+NOUN+PRON+*+AUX,$MONEY+NOUN,$MONEY+NOUN+*+PRON,$MONEY+NOUN+*+PRON+AUX+VERB,$MONEY+NOUN+*+PRON+AUX,$MONEY+NOUN+*+AUX,$MONEY+NOUN+*+AUX+VERB,$MONEY+*+PRON,$MONEY+*+PRON+AUX+VERB,$MONEY+*+PRON+AUX,$MONEY+*+NOUN+PRON,$MONEY+*+NOUN+PRON+AUX+VERB,$MONEY+*+NOUN+PRON+AUX,$MONEY+*+NOUN,$MONEY+*+AUX,$MONEY+*+AUX+VERB,$MONEY|NUM,$MONEY|NUM+NOUN,$MONEY|NUM+*+PRON,$MONEY|NUM+*+PRON|NOUN,$MONEY|NUM+*+NOUN+PRON,$MONEY|NUM+*+NOUN,$MONEY|$ORDINAL,$MONEY|$ORDINAL+NOUN,$MONEY|$ORDINAL+NOUN+*+PRON,$MONEY|$ORDINAL+*+NOUN,$MONEY|$PERCENT,$MONEY|$PERCENT+NOUN,$MONEY|$PERCENT+*+NOUN,$ORDINAL,$ORDINAL+NOUN,$ORDINAL+NOUN+*+PRON,$ORDINAL+*+NOUN,$ORDINAL+*+ADJ,$ORDINAL+*+ADJ+NOUN,$ORDINAL|$PERCENT,$ORDINAL|$PERCENT+NOUN,$ORDINAL|$PERCENT+*+NOUN,$PERCENT,$PERCENT+NOUN,$PERCENT+NOUN+ADV,$PERCENT+NOUN+*+ADV,$PERCENT+ADV,$PERCENT+*+NOUN,$PERCENT+*+NOUN+ADV,$PERCENT+*+ADV,$PERCENT|NUM,$PERCENT|NUM+NOUN,$PERCENT|NUM+*+NOUN,$PERCENT|NUM+*+NOUN+ADV,$PERCENT|NUM+*+ADV,$PERCENT|NUM+*+ADV|NOUN,$PERCENT|[item]
ss0,1,This particular location has a good check in deal . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss1,1,some of the items they sale here are a bit over priced but if you do n't mind paying a bit extra this is the place to go . ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ss2,1,They have some great offers going on now with even 70 % off on some items . ,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ss5,1,Prices were reasonable and mission accomplished ! ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss6,1,50 $ for buffet and mind you i only ate crab legs ,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
ss7,1,"Unbelievable , it was me & my mother so it was a total of 100 $ i could have gone to red lobster and ate better quality of food . ",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
ss10,1,They have coupons discount for first second and third time customers through their website ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss25,1,but they are more expensive than what I 've paid in the past and what another shop charges ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss3,0,Customer service told me nothing was rescheduled ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss4,0,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' .. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
